5350	뭔가 해보자!	2481	¡Intentemos algo!
5351	자야 합니다.	2482	Tengo que irme a dormir.
5351	자야 합니다.	1351142	Tengo que dormir.
5352	뭐해?	2483	¿Qué estás haciendo?
5353	그것은 무엇입니까?	2484	¿Qué es eso?
5354	오늘은 6월 18일, Muiriel의 생일입니다!	2485	¡Hoy es 18 de junio y es el cumpleaños de Muiriel!
5355	생일 축하해 Muiriel!	2486	¡Feliz cumpleaños, Muiriel!
5356	Muiriel은 지금 20살입니다.	2487	Ahora, Muiriel tiene 20 años.
5356	Muiriel은 지금 20살입니다.	3158397	Muiriel ahora tiene 20 años.
5357	비밀번호는 "Muiriel" 입니다.	2488	La contraseña es "Muiriel".
5358	곧 돌아올께요.	2489	Volveré pronto.
5359	모르겠어요.	376608	No sé.
5360	이건 절대 끝나지 않을거야.	2492	Esto no acabará nunca.
5361	뭐라고 말해야 할지 정말 모르겠어...	2493	Simplemente no sé qué decir...
5362	나는 산에 있었어.	2495	Yo estaba en las montañas.
5363	이 사진 최근 거에요?	2496	¿Es una foto reciente?
5364	시간 있는지 잘 모르겠어요.	2497	No sé si tengo tiempo.
5365	이 세상의 교육이 나를 실망시켜요.	2500	La educación en este mundo me decepciona.
5366	저는 하루에 100유로를 법니다.	2505	Gano 100 € al día.
5367	왜냐하면 당신은 혼자가 되고 싶지 않기 때문이에요.	2507	Eso es porque no quieres estar solo.
5368	보고 싶어.	454574	Te echo de menos.
5369	당신 좀 자야겠어요.	2517	Deberías dormir.
5370	나는 갈 거에요.	378542	Voy a ir.
5371	유감스럽게도 사실이네요.	2526	Desafortunadamente es verdad.
5371	유감스럽게도 사실이네요.	3141954	Lamentablemente es verdad.
5372	정말이에요?	2532	¿Estás seguro?
5373	일어났을 때 슬펐어.	2567	Cuando me desperté estaba triste.
5374	혼자인 사람은 다른 사람들을 두려워하기 때문에 혼자다.	2573	Todas las personas que están solas, están solas porque tienen miedo de los demás.
5375	일본에 갈 수 있었으면 좋겠어요.	2599	Deseo poder ir a Japón.
5375	일본에 갈 수 있었으면 좋겠어요.	3158459	Sería bueno si pudiera ir a Japón.
5376	사람 많은 게 싫어요.	2600	Odio cuando hay mucha gente.
5377	자야겠어요.	2601	Me tengo que ir a la cama.
5378	오늘은 더 이상 물어보지 않겠어요.	2603	No te preguntaré más por hoy.
5379	그가 사과를 했음에도 불구하고, 난 아직 화가 나 있어요.	2605	Aunque él se disculpó, aún estoy enojada.
